거리명,거리소개,소재지도로명,소재지지번주소,위도,경도,총길이,점포수,지정연도,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
혁신도시명품음식거리,"혁신도시 종가로 7블럭 일대 거리 480m 구간에 울산 중구를 대표하는 전문 식당과 프리미엄 카페 50여 곳이 들어서는 명품음식거리 조성 사업이 진행 중이다. 중구의 기존 원도심 음식특화거리가 시민들이 부담없이 이용할 수 있는 맛있고 저렴한 음식을 위주로 조성되었다면, 이곳은 고급스런 음식과 품격있는 서비스로 차별화되는 프리미엄 음식 거리이다. 귀한 손님을 대접하고자 할 때 즐겨찾는 음식거리를 테마로 간판, 조형물, 주차장 등 세세한 부분까지 고려하여 관광도시 종갓집 중구의 또 다른 매력을 보여주고 있다. 현재 울산의 대표 맛집 함양집을 비롯한 10여 개의 업체가 성업 중이다.",울산광역시 중구 종가 8길 35,울산광역시 중구 복산동 278-1,35.56724904,129.3266622,480.0,50,2015,052-290-3730,울산광역시 중구청,2024-11-13,3690000,울산광역시 중구
맛고을길,서구청 후문을 중심으로 형성된 음식문화 시범거리,인천광역시 서구 탁옥로33번길 16,인천광역시 서구 심곡동 243,37.54549877,126.6736202,160.0,30,2005,032-560-4322,인천광역시 서구 식품산업위생과,2024-10-11,3560000,인천광역시 서구
검단먹거리타운,검단사거리역을 중심으로 형성된 음식문화 시범거리,인천광역시 서구 완정로 191,인천광역시 서구 왕길동 635-4,37.60265213,126.655133,230.0,51,2007,032-560-4322,인천광역시 서구 식품산업위생과,2024-10-11,3560000,인천광역시 서구
루원음식문화거리,루원시티 상가지역을 중심으로 형성된 음식문화 시범거리,인천광역시 서구 봉오재3로94번길 일원,인천광역시 서구 가정동 619-1,37.52720617,126.6697493,260.0,84,2020,032-560-4322,인천광역시 서구 식품산업위생과,2024-10-11,3560000,인천광역시 서구
"학동, 선소 퓨전 음식거리","한식, 양식, 일식 퓨전 특화음식","전라남도 여수시 시청동3길 3, 1층 +전라남도 여수시 시청동3길 34",전라남도 여수시 학동 85-12+전라남도 여수시 학동 177-7,34.759503,127.666023,287.0,35,2020,061-659-4350,전라남도 여수시청,2024-03-21,4810000,전라남도 여수시
해양공원 해물삼합거리,해물삼합 특화음식,"전라남도 여수시 이순신광장로 137, 제1동 2층 +전라남도 여수시 하멜로 102",전라남도 여수시 중앙동 266+전라남도 여수시 종화동 292-1,34.737881,127.739106,895.0,70,2020,061-659-4350,전라남도 여수시청,2024-03-21,4810000,전라남도 여수시
젊코 음식문화거리,"광장코아 맞은 편에 형성된 음식문화거리로, 먹거리, 볼거리, 쇼핑을 한번에 다 즐길 수 있어 젊은이들의 핫플레이스로 꾸준히 사랑받고 있으며 지하철 2호선 두류역과의 접근성이 좋고 인근 관광지로 두류역 지하상가, 롯데시네마 광장점, 두류공원, 이월드가 있다",대구광역시 달서구 달구벌대로344길 일대(두류동),,35.855621,128.553274,620.0,144,2023,053-667-2782,대구광역시 달서구청,2024-03-14,3470000,대구광역시 달서구
이곡으뜸길 음식문화거리,"국민연금공단, 식품의약품안전청, 차량등록사업소, 성서경찰서 등 인근 공공기관과 대단지 아파트가 어우러져 근로자들의 회식 및 가족 모임 장소로 사랑받고 있는 음식문화거리로 지하철 2호선 성서산업단지역과의 접근성이 좋으며 인근 관광지로 배실웨딩공원이 있다",대구광역시 달서구 달구벌대로251길 일대(이곡동),,35.797227,128.548106,590.0,93,2023,053-667-2782,대구광역시 달서구청,2024-03-14,3470000,대구광역시 달서구
신장쇼핑몰거리,송탄 관광특구내 미군 기지를 중심으로 쇼핑과 유흥 시설이 들어선 거리,경기도 평택시 쇼핑로 35 (신장동),경기도 평택시 신장동 324-11,37.081216,127.053327,245.0,147,1997,031-8024-3291,경기도 평택시청,2024-02-19,3910000,경기도 평택시
계양맛길 음식문화시범거리,"계양맛길에는 한식,일식,중식 등 각종 음식점이 밀집해 있어 입맛따라 메뉴를 선택할 수 있습니다. 맛길주변에 미래광장과 공원이 있어 맛있는 음식을 먹은 후 산책을 해도 좋습니다.",인천광역시 계양구 오조산로,인천광역시 계양구 계산동 1102,37.535131,126.737509,1440.0,56,2008,032-450-5436,인천광역시 계양구,2024-03-07,3550000,인천광역시 계양구
용종마을 음식문화시범거리,"용종마을은 소문난 맛집이 많고, 웰빙 위주의 깔끔한 식단으로 가족 단위의 외식장소로 많은 사랑을 받고 있습니다.",인천광역시 계양구 용마루길,인천광역시 계양구 용종동 219-6,37.542469,126.744619,2610.0,17,2010,032-450-5436,인천광역시 계양구,2024-03-07,3550000,인천광역시 계양구
허준테마거리,의성 허준과 동의보감의 우수성과 가치를 강조한 상징물들로 꾸며진 강서구 대표 테마거리,서울특별시 강서구 양천로55길,서울특별시 강서구 가양동 1477-2,37.565917,126.8499254,866.0,0,2014,02-2600-6804,서울특별시 강서구청,2024-03-06,3150000,서울특별시 강서구
인주장어촌,1970년대 아산만과 삽교천이 낚시로 유명해지면서 발생됨,충청남도 아산시 인주면 아산만로 1520번길 11,,36.861626,126.868861,890.0,5,2009,041-540-2248,충청남도 아산시,2024-04-30,4520000,충청남도 아산시
염치한우촌,1980년대 도축장을 주변으로 한우식당 형성,충청남도 아산시 염치읍 염성길 105,충청남도 아산시 염치읍 염성리 264-1,36.8156020142,126.9726822,200.0,8,2009,041-540-2248,충청남도 아산시,2024-04-30,4520000,충청남도 아산시
온주맛고을,623국도를 따라 형성된 맛집,충청남도 아산시 외암로 1400(읍내동),충청남도 아산시 읍내동 288-3,36.76078763,127.0168754,400.0,21,2015,041-540-2248,충청남도 아산시,2024-04-30,4520000,충청남도 아산시
보정동 카페거리,용인시 지정 1호 문화의 거리로 카페·레스토랑·의류 등 120여개의 점포가 밀집하였으며 각종 드라마·CF·화보 촬영장소로 더욱 유명해짐,경기도 용인시 기흥구 죽전로15번길 일원,경기도 용인시 기흥구 보정동 1185,37.32178221,127.1101038,12000.0,128,2014,031-324-2102,경기도 용인시청 관광과,2024-04-25,4050000,경기도 용인시
낙지특화거리,"버스터미널 주변상가 및 노점상에서 무안갯벌에서잡은 낙지를 요리 및 판매한는 사람들이 생겨나면서 낙지골목이란 명칭으로 불리우기 시작 현재 약 50여개상가중 39개 점포가 낙지 도소매 상가 및 낙지요리 식당입니다. 낙지요리에는 연포탕, 회무침, 비빔밥, 호롱 등이있습니다.",전라남도 무안군 무안로 497-1,전라남도 무안군 무안읍 성동리 1046,34.98837837,126.4779683,500.0,50,2018,061-450-0518,무안군보건소,2024-04-15,4950000,전라남도 무안군
내외동 무로거리,300여개의 다양한 음식점들이 500m 거리에 집적화,경상남도 김해시 내외중앙로,,,,500.0,300,2018,055-330-3414,경상남도 김해시,2024-08-01,5350000,경상남도 김해시
주촌축산물도매시장,170여개 점포수가 집적화된 축산물 특화거리,경상남도 김해시 서부로1403번길,,,,273.0,170,2018,055-330-3414,경상남도 김해시,2024-08-01,5350000,경상남도 김해시
진영패션아울렛거리,국도 양변에 아울렛 의류 매장이 집적되어 있음,경상남도 김해시 진영읍 진산대로,,,,2000.0,63,2018,055-330-3414,경상남도 김해시,2024-08-01,5350000,경상남도 김해시
남한산성 백숙거리,"남한산성 안에는 아주 먼 과거부터 사람들이 살기 시작하여 지금까지도 마을이 존재하고 있으며, 남한산성을 향해 구불거리는 숲길을 올라가다 보면 마을이 나타난다. 해발 400M 위치에 있는 경기도 광주시 남한산성면 산성리. 마을에 들어서면 사방이 성벽으로 둘러싸여 있고, 한옥 기와집들이 옹기종기 모여 있어서 참 아늑하다. 이 마을 주민들 대부분은 2, 3대째 닭과 오리백숙 음식점을 운영하며, 성 안에 살고 있는 토박이들이다. 그 오랜 세월 맥을 이어 온 음식은 바로 닭백숙. 총70여개의 음식점 중에 59곳이 닭백숙과 오리백숙을 팔고 있다. 이 곳 상인들은 상인회를 조직하여 닭과 오리를 공동구매하고, 여가활동 등을 함께 하는 이웃사촌으로 그 안에서 음식에 대한 맛과 정성도 뛰어나 많은 사람들이 찾고 있다. 또한 2014년에는 한국관광공사에서 음식테마거리로도 선정된바 있으며, 닭백숙은 인조임금이 항복을 결정하고 남한산성을 떠날 때 수라상궁이 임금님께 보양식으로 닭백숙을 올린 이래, 남한산성을 대표하는 토종음식으로 자리 잡게 되었다고 한다.",경기도 광주시 남한산성면 남한산성로 774,,37.478003,127.184304,2300.0,76,2014,031-760-8437,경기도 광주시청,2024-10-30,5540000,경기도 광주시
곤지암 소머리국밥 거리,예부터 경상도 지방에서 과거를 보러 가기 위해 지나던 길목 중 이곳에서 숙식할 때 주식으로 먹던 소머리국밥은 뜨거운 사골국물을 밥에 붓고 소 머릿고기를 썰어 함께 담아 양념장을 곁들여 먹는 국밥으로 맛이 아주 일품이다. 1980년대부터 곤지바위를 중심으로 소머리국밥을 판매하는 음식점이 점차 늘어나면서 거리가 형성됐다.,경기도 광주시 곤지암로 50번길,,37.350565,127.339584,320.0,6,2016,031-760-8437,경기도 광주시청,2024-10-30,5540000,경기도 광주시
분원 붕어찜 마을,"분원리는 원래 조선백자 도요지였으니 1976년 붕어찜 조리법이 경기도 향토지적재산으로 등록되고 1980년대에는 입소문을 타고 전국으로 유명해져 관광객들이 많이 찾고 있으며, 팔당호에서 잡은 붕어를 사용하여 시래기, 수제비 등을 넣어 만든 별미로, 얼큰하고 진한 양념이 밴 살코기와 우거지, 시래기, 깻잎 등의 조화가 일품이다.",경기도 광주시 남종면 산수로 1616,,37.495366,127.301152,700.0,29,2016,031-760-8437,경기도 광주시청,2024-10-30,5540000,경기도 광주시
박종철거리,민주열사 박종철을 기념하는 거리,서울특별시 관악구 대학5길,서울특별시 관악구 신림동 246-1,37.46917583,126.938215,100.0,15,2007,02-879-5603,서울특별시 관악구청,2024-10-01,3200000,서울특별시 관악구
화평동 냉면거리,세숫대야 냉면으로 유명한 특색음식거리,인천광역시 동구 화평로 10,인천광역시 동구 화평동 531-100,37.47836371,126.630196,320.0,12,1997,032-770-6523,인천광역시 동구청,2024-10-18,3500000,인천광역시 동구
송현동 순대골목,송현동 시장통 골목에 자리한 특색음식거리,인천광역시 동구 화도진로 41번길 3,,37.475368,126.633316,91.0,7,1997,032-770-6523,인천광역시 동구청,2024-10-18,3500000,인천광역시 동구
류현진 거리,류현진 선수와 야구를 상징할 수 있는 대표거리(동산로 및 새천년로),인천광역시 동구 동산로 58,인천광역시 동구 송림동 97-12,37.47303977,126.6488935,1420.0,2,2016,032-770-6103,인천광역시 동구청,2024-10-18,3500000,인천광역시 동구
문화의 거리,"차없는 길로 길거리공연 등 문화행사 진흥, 쾌적한 보행환경과 아름다운 경관조성","충청북도 제천시 풍양로13길, 의병대로17길",충청북도 제천시 중앙로1가 221-1,37.1371976195,128.2114682528,340.0,88,2002,043-641-6223,충청북도 제천시청,2024-10-10,4400000,충청북도 제천시
삼가면 도시재생 특화거리,"삼가 한우 식당이 밀집한 거리를 한우테마로 특화거리를 조성한 것으로 한우거리 상점 및 식당과의 경관 협정을 통한 가로환경의 통일성 추구 및 경관 개선하였으며, 거리 경관 개선, 간판 정비, 가로시설물 정리, 보행환경 개선, 소공원 조성 등 백의종군 이순신장군을 주제로 한 테마거리를 조성하였음",경상남도 합천군 삼가면 삼가1로,경상남도 합천군 삼가면 일부리 949,35.4128558,128.1252492,450.0,40,2022,055-930-3416,경상남도 합천군청,2024-10-07,5480000,경상남도 합천군
평촌일번가 문화의거리,60-70년대 동양 최대의 영화촬영소가 있었던 곳으로 상시공연이 가능한 문화공간,경기도 안양시 동안구 평촌대로 223번길,,37.390756,126.953433,357.0,0,2003,031-8045-2062,경기도 안양시청,2025-01-02,3830000,경기도 안양시
왕십리여행자거리,모텔촌에 한국의 고유한 정서(대동여지도여행을 모티브로 로고제작)를 가미한 도로정비 및 담장특화를 통해 지역주민과 여행자들에게 매력적인 거리로 조성,서울특별시 성동구 왕십리로20길,서울특별시 성동구 왕십리도선동,37.563065,127.035354,360.0,41,2016,02-2286-5193,서울특별시 성동구청,2024-12-11,3030000,서울특별시 성동구
마장동 축산물 특화 거리,"마장축산물 시장을 지역의 역사와 문화, 관광자원과 연계하여 지역주민들과 관광객이  즐길 수 있는 거리로 조성",서울특별시 성동구 마장로31길 40,서울특별시 성동구 마장동 510-3,37.5697983,127.0384315,595.0,1262,2003,02-2281-4446,마장축산물시장상점가진흥사업협동조합,2024-12-11,3030000,서울특별시 성동구
에덴맛길,하단동 동아대 근처 젊음의 거리를 따라 형성된 맛집 로드,부산광역시 사하구 낙동남로1423번길,,35.112047,128.963671,3780.0,50,2019,051-220-4417,부산광역시 사하구청,2024-12-10,3340000,부산광역시 사하구
월미도 특화거리,인천대교와 서해바다의 경관을 활용한 휴게 및 문화거리,인천광역시 중구 월미문화로 16 ~ 95,인천광역시 중구 북성동1가 98-6,37.4753171461,126.5975764251,766.0,50,2017,032-760-7502,인천광역시 중구청,2024-12-09,3490000,인천광역시 중구
공구의거리,다양성과 전문성을 갖춘 공구 특화 상점가,광주광역시 북구 하남대로,광주광역시 북구 운암동 1428,35.172019,126.8797519,1200.0,150,2003,062-410-6547,광주광역시 북구청,2024-12-02,3620000,광주광역시 북구
자동차의거리,차량용부품+수리 및 튜닝에 대한 모든것을 찾을 수 있는 자동차 관련 상점가,광주광역시 북구 자동차로,광주광역시 북구 임동 11-4,35.16275359,126.9001118,1600.0,70,2003,062-410-6547,광주광역시 북구청,2024-12-02,3620000,광주광역시 북구
건축자재의거리,건설+건축에 필요한 모든 자재를 구할 수 있는 자재 전문 거리,광주광역시 북구 독립로,광주광역시 북구 중흥동 662-2,35.159857,126.9138254,1500.0,66,2003,062-410-6547,광주광역시 북구청,2024-12-02,3620000,광주광역시 북구
패션의거리,패션과 문화를 함께 누릴 수 있는 광주 최대 의류업체 밀집거리,광주광역시 북구 설죽로,광주광역시 북구 용봉동 1371-1,35.17994823,126.8977166,1200.0,68,2010,062-410-6547,광주광역시 북구청,2024-12-02,3620000,광주광역시 북구
오리요리의거리,광주 명물음식 오리탕 전문업소가 밀집된 대표거리,광주광역시 북구 경양로,광주광역시 북구 유동 102-2,35.16126499,126.9056156,300.0,12,2003,062-410-6547,광주광역시 북구청,2024-12-02,3620000,광주광역시 북구
연수동 맛고을길,"음식문화시범거리는 연수동 소재의 음식점 밀집지역인 맛 고을길 을 중심으로 하여 상차림 간소화 운동을 비롯한 좋은 식단 운동을 실천하는 업소들을 선정하여 지정한 거리이다. 이 거리에서는 특색 있고 맛깔스러우면서도 안전한 먹거리를 제공하여 찾는 이들이 보다 수준 높은 음식문화를 누릴 수 있도록 할 것이다. 더불어 이곳에 오면 구이류, 찌게류, 회 등 다양한 음식으로 골고루 맛 볼 수 있다.",인천광역시 연수구 샘말로 21+30+38+43+44번길+청능대로 113번길 일원,인천광역시 연수구 연수동 628-12,37.41243422,126.6784491,232.0,129,2007,032-749-7952,인천광역시 연수구청,2024-03-31,3520000,인천광역시 연수구
선학동음식문화시범거리,선학동 먹자거리,인천광역시 연수구 학나래로 6+14+22+46+118번길 일원,인천광역시 연수구 선학동 408-5,37.42447097,126.697457,590.0,141,2013,032-749-7952,인천광역시 연수구청,2024-03-31,3520000,인천광역시 연수구
오송도송음식문화특화거리,구(舊) 송도 지역의 음식과 문화가 어우러진 오송도송 음식문화 특화거리,인천광역시 연수구 능허대로 267,인천광역시 연수구 동춘동 812,,,1193.0,158,2021,032-749-7952,인천광역시 연수구청,2024-03-31,3520000,인천광역시 연수구
학익법조타운먹거리촌,미추홀구특색음식거리,인천광역시 미추홀구 소성로185번길 23,인천광역시 미추홀구 학익동 240-38,37.44217872,126.6692965,500.0,64,2004,032-880-7997,인천광역시 미추홀구청,2024-05-27,3510500,인천광역시 미추홀구
용현동물텀벙이거리,미추홀구특색음식거리,인천광역시 미추홀구 독배로 403,인천광역시 미추홀구 용현동 509-166,37.45584953,126.6494948,100.0,4,1999,032-880-7997,인천광역시 미추홀구청,2024-05-27,3510500,인천광역시 미추홀구
석바위음식거리,미추홀구특색음식거리,인천광역시 미추홀구 석바위로 148-1,인천광역시 미추홀구 주안동 999-1,37.45966366,126.6892625,500.0,72,2012,032-880-7997,인천광역시 미추홀구청,2024-05-27,3510500,인천광역시 미추홀구
신해철거리,마왕 신해철을 기념하기 위한 작업실과 조형물이 있는 거리,경기도 성남시 분당구 발이봉로3번길 2 일원,경기도 성남시 분당구 수내동 89-1 일원,37.365733,127.126926,160.0,30,2018,031-729-2696,경기도 성남시 문화관광과,2024-05-26,3780000,경기도 성남시
생선회 특화지역,세계최대규모의 횟집 및 생선회 취급업소가 밀집한 민락횟촌,부산광역시 수영구 광안해변로~민락수변로 일원,,35.156926,129.126241,500.0,130,2011,051-610-4404,부산광역시 수영구청,2024-05-13,3380000,부산광역시 수영구
문화의 거리,"도심속 문화예술과 쇼핑, 보행자 중심의 거리",강원특별자치도 원주시 중앙로 59,강원특별자치도 원주시 중앙동 204-2,37.34769948,127.9523572,670.0,145,2009,033-734-8881,문화의 거리 상인회,2024-04-19,4191000,강원특별자치도 원주시
상봉먹자 특화거리,"특화거리 조성사업으로 경관조명, 상징조형물 설치, 보행환경 개선 공사를 통해 거리 경관을 개선하였으며, 상봉동의 중심 상권이자 우리구의 대표적인 먹자골목임.",서울특별시 중랑구 봉우재로33길,,37.594834,127.088651,500.0,136,2022,02-2094-2236,서울특별시 중랑구청 지역경제과,2024-05-01,3060000,서울특별시 중랑구
사가정51 특화거리,"사가정역 인근 조성된 특화거리로 상권 대부분이 음식점, 주점, 카페, 의류패션, 악세사리 판매점, 편의점 등 인근 대학 및 2~30대 젊은층 수요를 적극 반영한 상권으로  MZ세대의 집결지역으로 부상하고 있는 지역임.",서울특별시 중랑구 사가정로51길,,37.58226,127.087978,250.0,122,2022,02-2094-2236,서울특별시 중랑구청 지역경제과,2024-05-01,3060000,서울특별시 중랑구
태능시장 특화거리,"태능시장은 골목상권 활성화 일환으로 2022년 8월 중랑구 최초 ‘골목형 상점가’로 지정이 되었고, 특화거리 조성, 스카이 어닝 설치 등 끊임없이 거리 경관개선을 계속하면서 중랑구민의 사랑을 받고 있는 시장임.",서울특별시 중랑구 중랑역로,,37.606676,127.076775,322.0,87,2022,02-2094-2236,서울특별시 중랑구청 지역경제과,2024-05-01,3060000,서울특별시 중랑구
장미꽃빛거리 특화거리,"천혜의 자연환경인 중랑천을 활용하여 걷고 싶은 거리조성, 플리마켓, 버스킹 공연을 정기적으로 진행하고 있는 고품격 힐링 상권",서울특별시 중랑구 동일로163길,,37.6119918,127.0764697,120.0,79,2024,02-2094-2236,서울특별시 중랑구청 지역경제과,2024-05-01,3060000,서울특별시 중랑구
봉우시장 특화거리,"2024년 2월 골목형상점가로 지정이 된 골목상권으로 미용실, 음식점, 마트 등 생활밀착 서비스 업종으로 구성된 상권",서울특별시 중랑구 봉우재로14길,,37.5903501,127.0779529,160.0,68,2024,02-2094-2236,서울특별시 중랑구청 지역경제과,2024-05-01,3060000,서울특별시 중랑구
연제평생학습특화거리,배움을 공유하고 많은 지식을 얻을 수 있는 연제구 평생학습 특화거리,부산광역시 연제구 아시아드대로 22번길,,35.187395,129.070151,240.0,10,2013,051-665-4505,부산광역시 연제구청,2024-05-17,3370000,부산광역시 연제구
미음나루음식문화특화거리,"미음나루는 조선시대 이전부터 한강을 오가는 배들의 중간 쉼터이자, 지금의 남양주시와 하남시의 미사리를 건너던 곳이었다. 그 덕에 사람의 왕래가 많아 이들을 대상으로 한 주막들이 꽤나 번성 했다. 안동김씨 후손의 호를 따서 이름이 붙혀진 나루터로 현재는 예전의 뱃사공 은 사라지고 한강변을 따라 드라이브를 즐기러 온 사람들이 뱃사공을 대신한다. 인근 야산에 축조된 수석리 토성은 삼국시대에는 한강변을 지키는 전략적 요충지의 일환으로 중요시 되었던 곳으로 여겨진다. 이곳 미음나루풍속마을 주변에는 매운탕과 장어구이 등 음식점이 30여개가 밀집되어 있고 분위기 있는 까페와 한정식 집들이 미식가들의 입맛을 돋우고 있으며 철에 따라 변화하는 강변의 풍광과 한강의 야경을 즐기려는 많은 사람들의 발걸음이 끊이질 않고 있다.",경기도 남양주시 강변북로 632번길 26(수석동),경기도 남양주시 수석동 168,37.58582383,127.1730352,580.0,33,2007,031-590-2237,경기도 남양주시청 위생과,2024-05-08,3990000,경기도 남양주시
삼봉리 음식문화마을,"북한강변에 위치한 삼봉리 음식문화 마을은 수려한 자연환경과  다산 정약용 유적지, 북한강 수상스키장, 자전거도로 등의 관광자원을 가지고 있는 지역으로 20여개의 음식점과 10여개의 까페들이 영업중에 있으며  특히 이 지역의 식당들은 직접재배하고 가꾼 농산물을 가지고 조리판매를 하고 있어 꾸준히 외식관광객들이 찾고 있음",경기도 남양주시 조안면 북한강로 856,경기도 남양주시 조안면 삼봉리 277-1,37.59238925,127.337477,1280.0,27,2013,031-590-2237,경기도 남양주시청 위생과,2024-05-08,3990000,경기도 남양주시
광릉숲음식문화특화테마거리,"능안마을은 오랜 역사를 가진 집성촌이 아닌 6.25 전쟁이후 형성된 마을로 향토음식을 기반으로 17개의 업소가 영업중에 있으며, 인근에는 969년(광종 20)창건된 봉선사와 국립수목원과 광릉 및 크낙새서식지 등 관광자원이 풍부한 지역임",경기도 남양주시 진접읍 광릉수목원로 179-19,경기도 남양주시 진접읍 부평리 258-49,37.74711118,127.1874489,480.0,15,2015,031-590-2237,경기도 남양주시청 위생과,2024-05-08,3990000,경기도 남양주시
부평문화의거리,차없는 거리로 지정된 각종 공연과 다양한 문화활동이 펼쳐지고 있는 인천 최대 규모의 의류 중심 거리,인천광역시 부평구 부평문화로,인천광역시 부평구 부평동 201-141,37.49384712,126.724759,270.0,218,2013,032-509-6540,인천광역시 부평구청,2024-02-29,3540000,인천광역시 부평구
월곡동세계음식문화거리,다양한 국적의 음식점들이 한데 모인 세계문화음식테마거리,광주광역시 광산구 산정공원로,광주광역시 광산구 산정동 945-1,35.171948903,126.8039183599,549.0,16,2019,062-960-6857,광주광역시 광산구청,2024-02-28,3630000,광주광역시 광산구
문화의거리,공연+특산품 및 지역생산품 판매+각종 행사 등 문경의 문화를 느끼고 즐길 수 있는 거리,경상북도 문경시 중앙8길,경상북도 문경시 점촌동 268-46,36.59519266,128.2002866,350.0,60,2013,054-550-6346,경상북도 문경시청 도시과,2024-02-23,5120000,경상북도 문경시
짬뽕특화거리,전통과 특색있는 군산의 짬뽕 관광자원을 활용 특화거리 조성,전북특별자치도 군산시 동령길 57,전북특별자치도 군산시 장미동 21-5,35.98883933,126.713992,779.0,8,2019,063-454-3413,전북특별자치도 군산시청,2024-01-30,4671000,전북특별자치도 군산시
건대로데오거리,유명 의류 상설할인매장 및 일반상점가가 밀집되어 있는 젊은 패션 문화의 거리,서울특별시 광진구 동일로20길,,37.53963156,127.0695303,610.0,60,2000,02-450-7314,서울특별시 광진구청,2024-01-24,3040000,서울특별시 광진구
중곡동가구거리,"혼수용가구, 공예가구, 나전칠기, 주방가구, 사무용가구, 수입가구 등 다양한 가구가 밀집되어 있는 서울의 대표 가구거리",서울특별시 광진구 천호대로(군자교에서 어린이대공원 후문),,37.55647745,127.0809738,1400.0,40,1995,02-450-7314,서울특별시 광진구청,2024-01-24,3040000,서울특별시 광진구
구의역미가로,일반음식점 및 휴게음식점,서울특별시 광진구 자양로18길,,37.537912,127.085795,600.0,208,1995,02-450-7314,서울특별시 광진구청,2024-01-24,3040000,서울특별시 광진구
건대맛의거리,일반음식점 및 휴게음식점,서울특별시 광진구 동일로22길,,37.540711,127.069953,1600.0,797,1995,02-450-7314,서울특별시 광진구청,2024-01-24,3040000,서울특별시 광진구
건대양꼬치거리,일반음식점 및 휴게음식점,서울특별시 광진구 동일로18길,,37.538064,127.068975,550.0,75,1995,02-450-7314,서울특별시 광진구청,2024-01-24,3040000,서울특별시 광진구
능마루맛의거리,일반음직점 및 휴게음식점,서울특별시 광진구 능동로36길,,37.555614,127.081179,360.0,73,1995,02-450-7314,서울특별시 광진구청,2024-01-24,3040000,서울특별시 광진구
걷고싶은거리,구도심 지역에 위치한 상가 밀집 거리,전북특별자치도 전주시 완산구 전주객사 4길+5길,전북특별자치도 전주시 완산구 고사동 203-6,35.820152,127.1448794,830.0,142,2003,063-281-5325,전북특별자치도 전주시청,2024-01-17,4641000,전북특별자치도 전주시
공구의거리,공구 관련 상가들이 밀집한 거리,전북특별자치도 전주시 완산구 대동로,전북특별자치도 전주시 완산구 고사동 227-19,35.82238346,127.1433985,830.0,136,2003,063-281-5325,전북특별자치도 전주시청,2024-01-17,4641000,전북특별자치도 전주시
동문문화거리,한옥마을과 인접해 각종 문화시설 밀집,전북특별자치도 전주시 완산구 동문길,전북특별자치도 전주시 완산구 경원동2가 24-6,35.81852882,127.149929,810.0,73,2003,063-281-5325,전북특별자치도 전주시청,2024-01-17,4641000,전북특별자치도 전주시
영화의거리,구도심 영화관이 밀집한 거리,전북특별자치도 전주시 완산구 전주객사 3길+4길,전북특별자치도 전주시 완산구 고사동 362-3,35.82077651,127.1429409,310.0,105,2003,063-281-5325,전북특별자치도 전주시청,2024-01-17,4641000,전북특별자치도 전주시
웨딩거리,웨딩관련 업종의 상가가 밀집,전북특별자치도 전주시 완산구 전라감영 2길+3길+4길+5길,전북특별자치도 전주시 완산구 중앙동3가 102-5,35.8167099,127.144755,550.0,94,2003,063-281-5325,전북특별자치도 전주시청,2024-01-17,4641000,전북특별자치도 전주시
차이나거리,중국 소주시와 자매결연을 기념으로 조성된 거리,전북특별자치도 전주시 완산구 전라감영 2길,전북특별자치도 전주시 완산구 다가동1가 44-1,35.81562472,127.1417361,250.0,42,2003,063-281-5325,전북특별자치도 전주시청,2024-01-17,4641000,전북특별자치도 전주시
쌍화차거리,"난방시설이 잘되어 있지 않던 시절, 추운 겨울날 정읍경찰서 구치소에 수감된 사람들에게 몸을 녹이라고 가족들이 쌍화차를 사식으로 넣어주기 시작하면서부터 유래되었다고 전해짐",전북특별자치도 정읍시 중앙1길,전북특별자치도 정읍시 수성동 637-3,35.56749723,126.856254,350.0,15,2016,063-539-5602,전북특별자치도 정읍시청,2024-01-24,4691000,전북특별자치도 정읍시
라페스타 문화의 거리,"총 6개동, 2만여 평의 초대형 쇼핑몰로 패션 상가 및 음식점, 다양한 공연 등이 펼쳐지는 젊음의 거리",경기도 고양시 일산동구 중앙로 1275번길 60-30,경기도 고양시 일산동구 장항동 768,37.66021217,126.7691061,300.0,129,2004,031-920-9600,라페스타관리단,2024-03-25,3940000,경기도 고양시
덕이동 패션 아울렛,패션의류 및 잡화업종 유명 브랜드 할인점이 다수 입점한 쇼핑의 거리,경기도 고양시 일산서구 탄중로101번길 13,경기도 고양시 일산서구 덕이동 384-1,37.69302242,126.7557859,280.0,129,2011,031-925-0606,덕이동소상공인협동조합,2024-03-25,3940000,경기도 고양시
화정문화의거리,덕양구 화정역을 중심으로 재미있는 길거리 공연과 쇼가 펼쳐지는 젊음의 거리,경기도 고양시 화정로 63,경기도 고양시 덕양구 화정동 963,37.63518041,126.8325979,800.0,686,2015,031-936-9344,화정동 상가발전협의회,2024-03-25,3940000,경기도 고양시
"국동 장어탕, 횟집거리","장어탕, 횟집 특화음식",전라남도 여수시 어항단지로 13+전라남도 여수시 어항단지로 63-3,전라남도 여수시 국동 1082-7+전라남도 여수시 국동 1082-51,34.725235,127.712517,407.0,10,2009,061-659-4350,전라남도 여수시청,2024-03-21,4810000,전라남도 여수시
봉산동 게장백반거리,"간장게장, 양념게장 특화음식",전라남도 여수시 봉산남4길 12 + 전라남도여수시 봉산남3길 19,전라남도 여수시 봉산동 282-10+전라남도 여수시 봉산동 265-23,34.732763,127.720092,180.0,12,2009,061-659-4350,전라남도 여수시청,2024-03-21,4810000,전라남도 여수시
